"Key","Value","Improvement"
"Lat","-2.5",20.8815458995668
"Lon","67.5",19.2352497802249
"Lat","2.5",9.92006058179413
"Lon","72.5",3.89273716606567
"Lon","57.5",3.21663704802359
"Lon","77.5",2.52724597824908
"Lat","12.5",2.03989470078704
"Lat","7.5",1.92765175081695
"Lon","62.5",1.87449079622456
"Lat","-7.5",1.70187930550492
"Lon","82.5",1.39175504898958
"Lon","52.5",1.22383883213661
"Lon","92.5",1.10909488287052
"Lon","37.5",1.0288659201542
"Lat","-17.5",0.985777834348482
"Lon","42.5",0.9796646800487
"Lon","47.5",0.872620408747935
"Lon","87.5",0.557092350649327
"Lat","-12.5",0.439117432390958
"Lat","-22.5",0.237777546878533
"Lat","17.5",0.176447786455356
